Query,Label
highlight some texts in between like this,"Spelling in the captions / Adding text / Changing text
"
"put a cha-ching sound here, put some money emoji (",Sound effects or music louder than the speaker’s voice
OU WANT THIS LOUIS VUITTON! ,"Spelling in the captions / Adding text / Changing text
"
Please add music,Sound effects or music louder than the speaker’s voice
"Put full screen banner at the end , text on screen should be magic trick reveal part 2","Spelling in the captions / Adding text / Changing text
"
Please add music ,Sound effects or music louder than the speaker’s voice
Please put full screen banner and add text part 2,"Spelling in the captions / Adding text / Changing text
"
Please add music,Sound effects or music louder than the speaker’s voice
Put text on screen with full banner part 3.,"Spelling in the captions / Adding text / Changing text
"
lease add music.,Sound effects or music louder than the speaker’s voice
"Please add emoticon  , instead of the text 'FISH'","Spelling in the captions / Adding text / Changing text
"
Please add music,Sound effects or music louder than the speaker’s voice
Please add music,Sound effects or music louder than the speaker’s voice
"No music, please check all the sankey short videos and music to them.",Sound effects or music louder than the speaker’s voice
Add full screen banner with texts Part 1,"Spelling in the captions / Adding text / Changing text
"
"Please add music , and Add full screen banner text in the beginning part 2","Spelling in the captions / Adding text / Changing text
"
"No music again , Please read creator brief.",Sound effects or music louder than the speaker’s voice
Please add music,Sound effects or music louder than the speaker’s voice
"Add numerical text 3,2,1 instead of words three two one","Spelling in the captions / Adding text / Changing text
"
Can you Fix / Re-Edit - there is a pop-in image glitch that looks bad (text on screen for a few frames) at 00:33 - please check and edit this out.  The music also ends abruptly as well at the end.,Reframing
Add music,Sound effects or music louder than the speaker’s voice
Add music ,Sound effects or music louder than the speaker’s voice
dd music,Sound effects or music louder than the speaker’s voice
Add music,Sound effects or music louder than the speaker’s voice
