Query,Label
"00:00:00:00 Thank you. I don't know if my logo could fade in with a ""Full Review on YouTube"" I am trying to get people to know my my main content is on YouTube. Not sure if that within Tiktok Guidelines but interested to see what you think.","Spelling in the captions / Adding text / Changing text
"
00:00:02:21 Thanks for pointing that out seems like auto transcription gets it wrong. I've reuploaded same with correction.,"Spelling in the captions / Adding text / Changing text
"
00:00:08:28 Uploaded with changes!,"Spelling in the captions / Adding text / Changing text
"
"00:00:50:14 Cut the 2nd part of this video out, just want ford foundation",Reframing
"00:00:00:00 Hi Aditya, for the font I am looking for something more like this that pops out more. This is a great example of the editing style i am looking for: https://app.frame.io/reviews/8b7abd48-4a5a-4cf1-ae89-088edd7259b6/5d819a56-77a8-4106-b611-dd30a14070da",Reframing
"00:00:14:05 Remove everything before 0:14. This is where the clip should start. Include the discussion about how fast we think the car should go, and end the video actually showing how fast the Mustang went (Show the full pass). And the video should end with a discussion or reaction of how fast the car actually went.","Spelling in the captions / Adding text / Changing text
"
"00:00:29:36 The rest of this should be cut, and Reel 2 should be the ending of the video.",Reframing
"00:00:10:01 Here I mumble ""I'll probably do a burnout"". add that subtitle.",Reframing
"00:00:00:00 Reel is left, please upload that as well","Spelling in the captions / Adding text / Changing text
"
"00:03:26:05 Show the doggo also looking at him here and there, put a cute sfx also","Spelling in the captions / Adding text / Changing text
"
"00:00:19:20 Put on screen -
Hair
Makeup
Skincare ","Spelling in the captions / Adding text / Changing text
"
00:00:37:02 Madison logo is therE?,"Spelling in the captions / Adding text / Changing text
"
00:00:41:22 Give the video a thumbs up,"Spelling in the captions / Adding text / Changing text
"
00:00:41:22 Can we put this bit? https://www.youtube.com/watch?v=1tfptNmLwQc,"Spelling in the captions / Adding text / Changing text
"
00:00:45:03 FOR A SURPRISE!,"Spelling in the captions / Adding text / Changing text
"
00:01:01:18 Put the picture on the side as well - https://www.google.com/search?q=olehenriksen+peptide+boost+moisturizer&tbm=isch&ved=2ahUKEwiT3LTLys76AhV7i9gFHZU2Do8Q2-cCegQIABAA&oq=olehenriksen+pept&gs_lcp=CgNpbWcQARgAMgcIABCABBAYMgcIABCABBAYOgQIABBDOgUIABCABDoGCAAQHhAIOgQIABAeUJEDWKgQYNAYaAJwAHgAgAGfAYgBxgiSAQMwLjiYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=v1lAY9OACvuW4t4Ple24-Ag&bih=825&biw=1440#imgrc=dKzLK0HvCJv38M,"Spelling in the captions / Adding text / Changing text
"
00:02:53:20 The youtube icon to come on the right corner side,"Spelling in the captions / Adding text / Changing text
"
00:15:31:14 SMELLS SO GOOD,"Spelling in the captions / Adding text / Changing text
"
"00:00:07:28 Shift the captions up, where they are visible.","Spelling in the captions / Adding text / Changing text
"
00:00:07:28 Also teal color,"Spelling in the captions / Adding text / Changing text
"
"00:00:25:00 Add the camera/paper transition I shared on slack.
the second one in it for all the pictures ",Ending transition and sound effect not there
00:00:53:12 No zoom in,Reframing
00:11:04:09 Cut to face zoom,Reframing
"00:00:11:01 For the font can you use ""wonder unit sans black"" with a black outline around it? I think a bolder font will allow it to be easier to read. Also at the end, we cant place the captions at the bottom of the screen. They get cut off by the text on Instagram and Tik Tok so it makes it useless to have there since no one will be able to read it. thank you!","Spelling in the captions / Adding text / Changing text
"
00:00:09:07 MY ZEN,Reframing
00:00:09:09 Add a trasnition here,Reframing
00:00:09:09 cut this,Reframing
00:00:53:00 Place them here,Reframing
00:00:11:01 I tried the unit sans font but that really disturbs the visibility of the text. I'll update the misplacement of text in the ending.,"Spelling in the captions / Adding text / Changing text
"
00:00:11:01 A bolder one won't work? Can you put a sample of 5 seconds?,Reframing
"00:00:02:00 Change the font to the one she has suggested, with black outline and make sure that there is no caption below the red line.",Reframing
00:00:45:04 no caption here,Reframing
00:00:47:10 black screen post this,Reframing
00:00:05:14 Clay Cheek Palette,Reframing
00:00:06:14 check,Reframing
00:00:06:14 retailing,Reframing
00:00:24:07 push captions up (,Reframing
00:00:26:24 psuh captions up,Reframing
00:00:01:15 push captions up,Reframing
00:00:34:01 that have,Reframing
00:00:46:05 captions missing here,"Spelling in the captions / Adding text / Changing text
"
00:00:09:12 So it is (,"Spelling in the captions / Adding text / Changing text
"
00:00:28:07 Push the caption up,Reframing
"00:00:01:03 Put all the captions here, they are not visible in reels if put so below.",Reframing
"00:00:39:12 This frame is not working, can we put something else?
We can even use some stock footage from pexels",Reframing
00:00:47:00 This can come full screen also,Reframing
"00:00:47:00 Put this logo on top left or put in the middle but it should be transparent, the white shouldn't be visible. I have shared that file also.",Reframing
"00:00:00:16 Wee need to put the name of the person who does this, so a bit of who this person in the middle is",Reframing
"00:00:00:16 Captions to come here
and same thing about the watermark as in Reel 1",Reframing
00:00:19:02 These can be full screen,Reframing
"00:00:28:04 Thebes. In 1340,",Reframing
00:00:32:07 Extra frame,Reframing
00:00:32:07 Same thing about the watermark,"Spelling in the captions / Adding text / Changing text
"
00:00:55:08 put To be continued... here,"Spelling in the captions / Adding text / Changing text
"
00:00:02:10 Make sure the captions are in color - red black and white only ,"Spelling in the captions / Adding text / Changing text
"
00:00:00:00 Make sure the captions are in color - red black and white only,"Spelling in the captions / Adding text / Changing text
"
00:00:55:08 Make sure the captions are in color - red black and white only,"Spelling in the captions / Adding text / Changing text
"
"00:00:00:00 Same thing about the watermark.
Make sure the captions are in color - red black and white only ","Spelling in the captions / Adding text / Changing text
"
00:00:11:20 Cut this ,Reframing
00:00:33:23 Cut this,Reframing
00:00:50:22 To be continued... below and watermarks goes off here ,Reframing
00:00:01:12 Start from here ,Reframing
"00:00:01:12 Same thing about the watermark.
Make sure the captions are in color - red black and white only",Reframing
00:00:17:05 Cut ,Reframing
00:00:46:01 Zoom in more,Reframing
00:00:51:06 To be continued... below,Reframing
00:00:00:06 Start from here,Reframing
00:00:03:02 Zoom this in,Reframing
00:00:38:11 Avoid all black patcheds in between ,Reframing
00:00:45:08 Watermark and captions - red black white only,Reframing
"00:00:00:00 Make one more reel, in which all the outfits are fit in one reel only.",Reframing
00:00:00:00 like?all outfits pic in 1 reel?or vids? ,Reframing
00:00:00:00 wedddwdw,"Spelling in the captions / Adding text / Changing text
"
"00:02:02:15 The third one has to be put, this is the second one from the transition",Ending transition and sound effect not there
00:02:02:15 And no paper BG,"Spelling in the captions / Adding text / Changing text
"
00:04:10:21 Cut to face zoom,Reframing
"00:04:22:18 Instead of putting it on a BG and making a transition here, let's put a small logo beside Annie so it is not so pixelated. ",Ending transition and sound effect not there
"00:04:32:05 To avoid cut, zoom cut to face ","Spelling in the captions / Adding text / Changing text
"
00:06:28:03 cut this ALvin bit,"Spelling in the captions / Adding text / Changing text
"
"00:08:39:13 Same logo thing here as well, same as 4.22","Spelling in the captions / Adding text / Changing text
"
00:20:14:03 Can we zoom out and show this entire thing,Reframing
00:00:04:19 Please keep text at the center of the screen. Use font MONUMENT EXTENDED BOLD with no black border just all white font.  Please see VLOG edit below for reference.  https://www.dropbox.com/s/8to7ydgajgd993s/YT%20Vlog%209.30.22.mp4?dl=0,"Spelling in the captions / Adding text / Changing text
"
"00:00:05:06 For this EVERY SINGLE TIME
Can we have a cut to zoom closer to her face for all the words?",Reframing
00:00:10:29 PERSON'S ,"Spelling in the captions / Adding text / Changing text
"
00:00:20:06 GEO-LOCATION,Ending transition and sound effect not there
00:00:59:14 Add an ending sfx,Ending transition and sound effect not there
"00:00:28:20 CAN YOU FIX?  There is a second where my channel ""subscribe now"" pops up and then cuts away - it looks weird.  Can you cut that part out - it is at 28 seconds in ","Spelling in the captions / Adding text / Changing text
"
00:00:00:00 Approved ,
00:00:42:10 Approved (,
"00:00:43:10 CAN YOU CHANGE THE EDIT AT THE END?  Around 43 seconds, the images don't make any sense.  Can you make an adjustment? ",Ending transition and sound effect not there
00:00:59:09 approved,
00:00:45:10 approved,
00:00:52:13 Approved ,
00:00:59:20 Approved,
00:00:21:02 Enhance the creator's audio here and increase volume pls,Sound effects or music louder than the speaker’s voice
"00:00:57:19 End seems abrupt. Pls see if you can add another sentence of the creator speaking and cut it from the start point. If not, a SFX would work.",Ending transition and sound effect not there
"00:00:51:20 Add another second or 2 of him saying ""it doesnt make any sense"" from the yt video after he says ""back to the world"" right at the end..",Ending transition and sound effect not there
00:00:43:10 yes..will do,Ending transition and sound effect not there
00:00:28:20 ya.will change that,Ending transition and sound effect not there
00:00:45:12 The $177 at the end should be huge. Could use a cha-ching SFX here too to conclude the vid..,Ending transition and sound effect not there
00:00:51:01 Same thing here (Just make the total amount at the end bigger and add a louder cha ching to end the vid,Ending transition and sound effect not there
"00:00:31:09 The background music is a little loud, pls turn it down a bit.",Sound effects or music louder than the speaker’s voice
00:00:28:08 approved,
00:00:52:23 approved,
00:00:07:21 approved,
"00:00:51:16 This is a video of a man, but we are speaking about a woman (",Sound effects or music louder than the speaker’s voice
00:00:15:16 Added stock videos are fine but the gender and race should match that of the real people,Sound effects or music louder than the speaker’s voice
"00:00:46:09 LIVE.
Y'ALL, ","Spelling in the captions / Adding text / Changing text
"
00:00:59:20 Can you add her logo on the top left corner (,"Spelling in the captions / Adding text / Changing text
"
00:00:59:20 Also add some music in it - subtle music - up beat,Sound effects or music louder than the speaker’s voice
00:00:59:20 Give some words highlights and also add sound effects and emojis,Sound effects or music louder than the speaker’s voice
00:00:00:10 Give a banner in the starting - Oddly Satisfying Landscape in Acrylics for Beginners,
00:00:01:24 Add music - we need music in all his reels - something soothing,Sound effects or music louder than the speaker’s voice
00:00:01:17 Add some transitions,Ending transition and sound effect not there
"00:00:06:26 Add a banner in the start - Oddly Satisfying Abstract in Acrylics for Beginner!
With some emojis and sfx","Spelling in the captions / Adding text / Changing text
"
"00:00:08:02 Add transitions, pan the frame with his hand movement a bit, zoom in zoom out,, left right",Reframing
"00:00:59:07 If there is a logo in his YT videos, can we add that at the end?","Spelling in the captions / Adding text / Changing text
"
00:00:00:00 A banner in the start - Abstract Painting Tips and Tricks with Pallet Knife,"Spelling in the captions / Adding text / Changing text
"
00:00:03:02 Put captions above red line. ,"Spelling in the captions / Adding text / Changing text
"
00:00:20:17 PURSUE,"Spelling in the captions / Adding text / Changing text
"
00:00:02:05 Change the color of the captions to Pink?,"Spelling in the captions / Adding text / Changing text
"
00:00:02:05 white is not that visible,"Spelling in the captions / Adding text / Changing text
"
00:00:01:11 Make all the text come the same way,"Spelling in the captions / Adding text / Changing text
"
"00:00:04:42 Can we have bolder text, this won't be that visible (","Spelling in the captions / Adding text / Changing text
"
00:00:06:25 Put the captions on top,"Spelling in the captions / Adding text / Changing text
"
00:00:11:34 The overall music needs to be lower - her voice needs to be more up and loud,Sound effects or music louder than the speaker’s voice
00:00:28:20 that hairline,"Spelling in the captions / Adding text / Changing text
"
"00:00:01:19 The intro and fade in looks very dainty & low effort. Pls change that fade in to something bolder with a better font. For this whole ""regrow edges"" video series..",Reframing
00:00:59:07 there is no logo,End video
"00:00:24:17 End the video here!
Make the frame.io link downloadable.",Reframing
"00:00:01:03 TEXT SHOULD NOT COME LIKE THIS
Zoom out and show
Banner is missing from the start (","Spelling in the captions / Adding text / Changing text
"
"00:00:03:15 He should be in center, why is he on the left side>",Reframing
00:00:17:20 to the NINES.,Reframing
00:00:22:20 extra frame (,Reframing
00:00:22:22 extra frame,Reframing
00:00:26:01 the maple spiced latter.,Reframing
"00:00:28:16 We can;t see the price of these coming, this frame is useless",Reframing
"00:00:29:19 Show them both in split screen.. Building dekhni hai kya humei yahan pe?
Where is the edit sende?",Reframing
Make the frame.io link downloadable.,Reframing
00:00:00:00 This is not loading,Reframing
"00:00:00:00
Make the frame.io link downloadable.",Reframing
00:00:01:12 Banner for the video is the same as Reel 1,"Spelling in the captions / Adding text / Changing text
"
00:00:01:20 And then put the location banner as it is,"Spelling in the captions / Adding text / Changing text
"
"00:00:04:14 Show them both split screen, why are we seeing the BG more than the people? ",Reframing
00:00:04:11 We're in N R ,"Spelling in the captions / Adding text / Changing text
"
00:00:21:10 EXTRA FRAME,Reframing
00:00:24:08 EXTRA FRAME,Reframing
00:00:26:07 ramen and cocktails,"Spelling in the captions / Adding text / Changing text
"
00:00:29:07  WHAT SHOULD I SEE HERE? BLACK SCREEN?,Reframing
00:00:32:17 IT'S BRING ME BACK TO JAPAN ACTUALLY.,"Spelling in the captions / Adding text / Changing text
"
"00:00:33:02 End the video here!
Make the frame.io link downloadable.",Reframing
"00:00:00:00 This is how the Vlogs are supposed to be - https://app.frame.io/projects/947f1b3a-322d-45e3-be31-66e02e843c65/b92cc511-d1d1-4f16-b4fb-aab9c3d72996
Please re-edit accordingl",Reframing
00:00:23:04 Hey! The captions are missing ,"Spelling in the captions / Adding text / Changing text
"
00:00:53:00 U forgot to put subtitles! Pls put em.,"Spelling in the captions / Adding text / Changing text
"
00:00:17:15 16 seconds instead of have a patch waist its supposed to say have a snatch waist and the 2nd typo at 22 seconds  on the video it needs to stay I'm gonna put the waist trainer right on top just so the cream can work for hours. 3rd typo erase the word curl (261 kB,Reframing
00:00:04:11 Divide this caption into two parts,Reframing
"00:00:04:11 Make sure all the captions are coming here in the red box throughout so they are visible.
Remove the black band behind it and only 5/6 words should come at one point of time.","Spelling in the captions / Adding text / Changing text
"
00:00:33:29 check the frame here,Reframing
"00:00:00:08 Make sure all the captions are coming here in the red box throughout so they are visible.
Remove the black band behind it and only 5/6 words should come at one point of time.
Also make the subtitle font size smaller. ","Spelling in the captions / Adding text / Changing text
"
00:00:10:04 and the I O is ,"Spelling in the captions / Adding text / Changing text
"
00:00:15:21 The text on screen behind it is getting cut ,"Spelling in the captions / Adding text / Changing text
"
"00:00:32:20 Of course, you did! ","Spelling in the captions / Adding text / Changing text
"
00:00:43:17 car purchase. ,"Spelling in the captions / Adding text / Changing text
"
"00:00:05:15 Make sure all the captions are coming here in the red box throughout so they are visible.
Remove the black band behind it and only 5/6 words should come at one point of time.
Also make the subtitle font size smaller.",Reframing
00:00:31:29 Zoom out and show this logo,Reframing
00:00:31:25 TOBLERONE ,"Spelling in the captions / Adding text / Changing text
"
00:00:53:12 Add end transition and sfx,Ending transition and sound effect not there
00:00:43:21 Add end transition and sfx,Ending transition and sound effect not there
00:00:50:06 Add end transition and sfx ,Ending transition and sound effect not there
00:00:30:18 Add an end sfx and transition ,Ending transition and sound effect not there
00:00:30:18 Subtitles are missing (,"Spelling in the captions / Adding text / Changing text
"
00:00:13:21 Add subtitles ,"Spelling in the captions / Adding text / Changing text
"
00:00:35:12 End sfx and transiiton ,Ending transition and sound effect not there
00:00:48:12 Subtitles and end transition and sfx,Ending transition and sound effect not there
00:00:36:28 Subtitles and end sfx transition ,Ending transition and sound effect not there
00:00:52:17 End sfx and subtitles,Ending transition and sound effect not there
00:00:01:06 Subtitles and end transition and sfx,Ending transition and sound effect not there
00:00:16:27 snatch waist.,"Spelling in the captions / Adding text / Changing text
"
00:00:22:23 trainer on top,"Spelling in the captions / Adding text / Changing text
"
00:00:23:19 remove for hours. from here,"Spelling in the captions / Adding text / Changing text
"
00:00:02:02 My name is Toyesha Smarr,"Spelling in the captions / Adding text / Changing text
"
00:00:23:16 fat be gone gel,"Spelling in the captions / Adding text / Changing text
"
00:00:47:07 remove frame,Reframing
"00:00:06:02 There is a glitch frame that pops in at 00:05 to remove.  I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?",Sound effects or music louder than the speaker’s voice
"00:00:00:00
I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  I would like something like this for each video in this series.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?  Also - these titles are sometimes too short to read and not on screen long enough.",Sound effects or music louder than the speaker’s voice
"I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  I would like something like this for each video in this series.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?  Also - these titles are sometimes too short to read and not on screen long enough.",Sound effects or music louder than the speaker’s voice
"00:00:00:00
I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  I would like something like this for each video in this series.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?  Also - these titles are sometimes too short to read and not on screen long enough.",Sound effects or music louder than the speaker’s voice
"00:00:00:00 I have some general notes for ALL short videos edited from my various “Uniform” videos (the ones with music only, no narration).  I like what you’re doing but I would like them all to be be re-edited following these notes:
I like the opening for “LION_SHORT_31” - with the title of the video and the dates - Briefly as you have it.  I would like something like this for each video in this series.  Within the BODY of the video - I like showcasing three uniforms but can you re-edit them so that the shots with the original titles/names of the Uniforms are REMOVED and you just have the title re-written at the top of the frame? - this is cleaner and not “cut-off”.  Is it possible to use a different FONT for those titles as well?  Also - these titles are sometimes too short to read and not on screen long enough.",Sound effects or music louder than the speaker’s voice
"00:00:21:06 Lets put the title in the first frame of the video ""Ref asks for a selfie after giving player a yellow card""",
00:00:38:22 Manawar from Bubblez Same thing here. A title at the beginning of the vid. And less sad music we can put something upbeat as it's a funny video.,Sound effects or music louder than the speaker’s voice
"00:00:00:00 Asked you to put captions above the red line, not below, it won't be visible","Spelling in the captions / Adding text / Changing text
"
00:00:04:07 Rob Janoff,"Spelling in the captions / Adding text / Changing text
"
"00:00:05:25 Caption missing here , that also needs to be put ","Spelling in the captions / Adding text / Changing text
"
"00:00:10:05 Janoff bought a bag of apples
Captions missing here again","Spelling in the captions / Adding text / Changing text
"
00:00:12:00 and spent the week missing,"Spelling in the captions / Adding text / Changing text
"
00:00:16:06 Caption missing again ,"Spelling in the captions / Adding text / Changing text
"
00:00:19:17 Caption missing ,"Spelling in the captions / Adding text / Changing text
"
00:00:21:06 Caption missing,"Spelling in the captions / Adding text / Changing text
"
"00:00:25:03 Put all the captions back, otherwise will have to reject this ","Spelling in the captions / Adding text / Changing text
"
00:00:24:28 Only make sure that the captions on every frame/screen have only 4/5 words.. they are un 1/2 lines and not 4/5 lines.,Reframing
"00:00:03:15 Asked you to put captions above the red line, not below, it won't be visible.","Spelling in the captions / Adding text / Changing text
"
"00:00:05:16 Captions missing in this also..
Keep the comments of both Video 1 as well ","Spelling in the captions / Adding text / Changing text
"
"00:00:03:25 Asked you to put captions above the red line, not below, it won't be visible.","Spelling in the captions / Adding text / Changing text
"
"00:00:06:13 Missing here also, the captions - Same as Video 1","Spelling in the captions / Adding text / Changing text
"
"00:00:04:08 Asked you to put captions above the red line, not below, it won't be visible.","Spelling in the captions / Adding text / Changing text
"
"00:00:06:05 Captions missing here also. Put 1/2 lines only not 3/4 in one frame.
Sane as Video 1",Reframing
00:00:10:36 Put captions above red line ,"Spelling in the captions / Adding text / Changing text
"
00:00:01:09 Maestre ,"Spelling in the captions / Adding text / Changing text
"
"00:00:00:00 Hi Aditya, font for the captions can they be like this please? https://www.instagram.com/p/CjlFXLDB4O5/ this is a great reference for what i am looking for. thank you ","Spelling in the captions / Adding text / Changing text
"
00:00:00:00 For this clip we should focus on one question that has the most engagement. In the video it is time stamp 4:43-6:52. It can be condensed to share the most interesting parts to keep it at 60 seconds.,"Spelling in the captions / Adding text / Changing text
"
00:00:20:25 captions like this : https://www.instagram.com/p/CjlFXLDB4O5/,"Spelling in the captions / Adding text / Changing text
"
"00:00:02:02 we can cut out crib mattress section as it gets cut off and doesnt flow with this clip. Just keep it as both strollers and maybe add text in the beginning saying ""2 stroller options for newborns""","Spelling in the captions / Adding text / Changing text
"
"00:00:01:00 Tourist Mistake: Not Using The Subway (don't # these 1,2,3 these are all seperate)","Spelling in the captions / Adding text / Changing text
"
00:00:01:02 NYC Tourist Mistake: Eating at Chain Restaurants and hold this on screen :2 seconds,"Spelling in the captions / Adding text / Changing text
"
00:00:03:22 0:00 Have You Ever Seen This NYC Hidden Gem?,"Spelling in the captions / Adding text / Changing text
"
00:00:10:02 0:00 Have You Seen This Hidden Memorial in NYC?,"Spelling in the captions / Adding text / Changing text
"
00:00:08:07 I legit think,"Spelling in the captions / Adding text / Changing text
"
"00:00:08:07 start the video HERE put ""Have You ever heard of this Secret NYC Garden?"" in the beginning here","Spelling in the captions / Adding text / Changing text
"
00:00:00:12 0:00 Change #1LinkNYC Boxes to: Have You Ever Seen These NYC Link Boxes? and hold it on screen for :2 seconds,"Spelling in the captions / Adding text / Changing text
"
00:00:00:12 2 seconds (,"Spelling in the captions / Adding text / Changing text
"
"00:00:00:00 instead of the title screen you have put at 0:00 for 2 seconds ""Have You Ever Eaten NYC Pizza in an Old Church?""","Spelling in the captions / Adding text / Changing text
"
00:00:20:09 0:00 New title screen put: The World's Most Unique Pizzeria?,"Spelling in the captions / Adding text / Changing text
"
00:00:00:00 New title screen put: The World's Most Unique Pizzeria?,"Spelling in the captions / Adding text / Changing text
"
00:00:30:19 Cut :31-:34,"Spelling in the captions / Adding text / Changing text
"
00:00:38:17 Ending's bad.. forget that price point. Cut to my camera guy saying i'm a bad catholic.. and end with that.,Spelling in the captions / Adding text / Changing text
"00:00:00:00 change this intro screen and put ""Have You Ever Seen This Hidden NYC Waterfall?"" Hold it on screen first 3 seconds","Spelling in the captions / Adding text / Changing text
"
"00:00:39:04 keep this video going, there's more spots. name them all we can go longer here","Spelling in the captions / Adding text / Changing text
"
"00:00:01:09 change the title bar to ""Throw Away Your NYC Metrocard?"" hold for 2 seconds","Spelling in the captions / Adding text / Changing text
"
00:00:19:08 end the video here at :19,Ending transition and sound effect not there
00:00:03:06 start video here (,
00:00:06:01  hold streecha on screen 2 seconds,
